Sex, Age, Pitch, Light, Weight
From Spearman (1904), 292 -- "experimental series v"
f, 27, 3, 4, 8
f, 23, 7, 7, 6
m, 39, 2, 3, 15
m, 55, 7, 5, 6
m, 53, 6, 5, 8
m, 69, 5,,10
f, 24, 10, 8, 2
f, 45, 7, 8, 8
f, 21, 10, 8, 6
f, 22, 10, 3, 16
f, 22, 10, 12, 4
m, 78, 5, 8, 30
f, 30, 7, 24, 8
f, 30, 14, 4, 12
f, 52, 27, 5, 10
m, 45, 65, 7, 8
f, 40, 15, 6, 15
f, 30, 12, 48, 6
f, 22, 15, 8, 16
m, 50, 30, 15, 10
m, 21, 10, 20, 14
f, 35, 100, 6, 14
m, 40, 100, 8, 12
m, 25, 30, 15, 18
f, 40, 30, 15, 18
m, 40, 80, 12, 19
m, 40, 180, 11, 9


