,paup,out,old,pop
Kensington,27,5,104,136
Paddington,47,12,115,111
Fulham,31,21,85,174
Chelsea,64,21,81,124
St. George’s,46,18,113,96
Westminster,52,27,105,91
Marylebone,81,36,100,97
St. Johns_Hampstead,61,39,103,141
St. Pancras,61,35,101,107
Islington,59,35,101,132
Hackney,33,22,91,150
St. Giles,76,30,103,85
Strand,64,27,97,81
Holborn,79,33,95,93
City,79,64,113,68
Shoreditch,52,21,108,100
Bethnal Green,46,19,102,106
Whitechapel,35,6,93,93
St. George’s East,37,6,98,98
Stepney,34,10,87,101
Mile End,43,15,102,113
Poplar,37,20,102,135
St. Saviour’s,52,22,100,111
St. Olave’s,57,32,102,110
Lambeth,57,38,99,122
Wandsworth,23,18,91,168
Camberwell,30,14,83,168
Greenwich,55,37,94,131
Lewisham,41,24,100,142
Woolwich,76,20,119,110
Croydon,38,29,101,142
West Ham,38,49,86,203
